ID,NOME,RISCHIO_EROSIONE,DATA_ISCRIZIONE,AMBITO_LOCALE,MODICA_QUANTITA,SEZIONE_REGISTRO,TIPOLOGIA_RISORSA,FAMIGLIA,GENERE,SPECIE,NOME_COMUNE,SIGNIFICATO_NOME,SINONIMI,NOME_DIALETTALE,LUOGO_CONSERVAZIONE,SCHEDA_PORTALE
18,Mela San Giovanni,Elevato,15/12/2014,"Comuni di Città di Castello, Gubbio",10 marze,Vegetale,Arborea,Rosaceae,Malus,M. domestica Borkh,Mela San Giovanni,Legato al periodo di maturazione dei frutti che cade approssimativamente nel periodo della festività del Santo.,-,-,"Banca del germoplasma in vitro e Campo collezione presso 3A-PTA a Todi (PG); Campo collezione Fondazione per l’Istruzione Agraria, Deruta (PG); Fondazione “Archeologia Arborea”, Città di Castello (PG)",https://biodiversita.umbria.parco3a.org/risorsa/mela-san-giovanni/
19,Mela Ruzza,Elevato,15/12/2014,Regione Umbria,10 marze,Vegetale,Arborea,Rosaceae,Malus,M. domestica Borkh,Mela Ruzza,Legato alla caratteristica dei frutti di avere la buccia interamente (o quasi) ricoperta da rugginosità.,"Roggia, Ruggine",-,"Banca del germoplasma in vitro e Campo collezione presso 3A-PTA a Todi (PG); Campo collezione Fondazione per l’Istruzione Agraria, Deruta (PG); Fondazione “Archeologia Arborea”, Città di Castello (PG)",https://biodiversita.umbria.parco3a.org/risorsa/mela-ruzza/
20,Fico Bianchelle,Elevato,15/12/2014,Comune di Amelia,10 marze,Vegetale,Arborea,Moraceae,Ficus,F. carica L.,Fico Bianchelle,-,-,-,"Banca del germoplasma in vitro e Campo collezione presso 3A-PTA a Todi (PG); Campo collezione Fondazione per l’Istruzione Agraria, Deruta (PG); Fondazione “Archeologia Arborea”, Città di Castello (PG)",https://biodiversita.umbria.parco3a.org/risorsa/fico-bianchelle/
21,Vitigno Sagrantino,Non a rischio,15/12/2014,"Comuni di Montefalco, Bevagna, Gualdo Cattaneo, Castel Ritaldi e Giano dell’Umbria",10 barbatelle,Vegetale,Arborea,Vitaceae,Vitis,V. vinifera L.,Vitigno Sagrantino,"Rimanda alla tradizione secondo la quale il Sagrantino, nella versione passita, fosse consumato durante le festività religiose o durante la celebrazione delle liturgie.",-,-,"Campo collezione di varietà di vite del DSA3, Casalina di Deruta (PG).",https://biodiversita.umbria.parco3a.org/risorsa/vite-sagrantino/
22,Farro di Monteleone di Spoleto,Medio,15/12/2014,Territori in base al Disciplinare della DOP,10 Kg,Vegetale,Erbacea,Gramineae,Triticum,T. turgidum L. subsp. dicoccum Schubler,Farro di Monteleone di Spoleto,-,-,-,"Banca del germoplasma regionale di semi di specie erbacee, S. Andrea D’Agliano (PG).",https://biodiversita.umbria.parco3a.org/risorsa/farro-di-monteleone-di-spoleto/
23,Sedano Nero di Trevi,Medio,15/12/2014,Comune di Trevi,30 semi,Vegetale,Erbacea,Umbelliferae,Apium,A. graveolaens L. var. dulce,Sedano Nero di Trevi,L’aggettivo “nero” associato al nome è legato alla caratteristica della varietà di conservare le coste di colore verde fino alla maturità in quanto trattasi di varietà non auto imbiancante.,-,-,"Banca del germoplasma regionale di semi di specie erbacee, S. Andrea D’Agliano (PG)",https://biodiversita.umbria.parco3a.org/risorsa/sedano-nero-di-trevi/
24,Pollo Livorno bianca ceppo Università degli Studi di Perugia,Minacciata di abbandono,25/05/2015,Regione Umbria,1 maschio e 5 femmine,Animale,Avicoli,Phasianidae,Gallus,G. gallus L,Pollo Livorno bianca ceppo Università degli Studi di Perugia,-,-,-,"Sezione Sperimentale dell’Università degli Studi di Perugia, in loc. Vestricciano (PG).",https://biodiversita.umbria.parco3a.org/risorsa/pollo-livorno-bianca-ceppo-universita-degli-studi-di-perugia/
25,Roveja accessione di Civita di Cascia,Medio,25/05/2015,"Comuni di Norcia, Cascia e Preci",200 grammi,Vegetale,Erbacea,Fabaceae,Pisum,P. sativum ssp. sativum var. arvense L. (POIR.),Roveja accessione di Civita di Cascia,-,"Roveglia, Rubiglio (Appennino umbro marchigiano)",-,"Banca del germoplasma regionale di semi di specie erbacee, S. Andrea D’Agliano (PG).",https://biodiversita.umbria.parco3a.org/risorsa/roveja-accessione-di-civita-di-cascia/
26,Pomodoro di Mercatello di Marsciano,Elevato,25/05/2015,Comune di Marsciano,40 semi,Vegetale,Erbacea,Solanaceae,Solanum,S. lycopersicum L.,Pomodoro di Mercatello di Marsciano,Legato alla coltivazione nel paese di Mercatello di Marsciano,-,-,"Banca del germoplasma regionale di semi di specie erbacee, S. Andrea D’Agliano (PG).",https://biodiversita.umbria.parco3a.org/risorsa/pomodoro-di-mercatello-di-marsciano/
27,Prugna Verdacchia,Elevato,25/05/2015,Comune di Amelia,10 marze,Vegetale,Arborea,Rosaceae,Prunus,P. domestica L.,Prugna Verdacchia,-,-,-,Banca del germoplasma in vitro e Campo collezione presso 3A-PTA a Todi (PG).,https://biodiversita.umbria.parco3a.org/risorsa/susina-verdacchia/
