ID,NOME,RISCHIO_EROSIONE,DATA_ISCRIZIONE,AMBITO_LOCALE,MODICA_QUANTITA,SEZIONE_REGISTRO,TIPOLOGIA_RISORSA,FAMIGLIA,GENERE,SPECIE,NOME_COMUNE,SIGNIFICATO_NOME,SINONIMI,NOME_DIALETTALE,LUOGO_CONSERVAZIONE,SCHEDA_PORTALE
60,Pollo Livorno dorata,Minacciata di abbandono,29/06/2020,Regione Umbria,1 maschio e 5 femmine,Animale,Avicoli,Phasianidae,Gallus,G. gallus L,Pollo Livorno dorata,Fa riferimento alla livrea del piumaggio,Livorno collo oro,-,"Sezione Sperimentale Avicunicola, DSA3-Università di Perugia, loc. Vestricciano, Ponte della Pietra (PG) e Centro Avicolo della Scuola Agraria “Ciuffelli”, in loc. Bodoglie (Todi, PG)",https://biodiversita.umbria.parco3a.org/risorsa/pollo-livorno-dorata-ceppo-universita-degli-studi-di-perugia/
61,Fico Alvo,Elevato,29/06/2020,Regione Umbria,10 marze,Vegetale,Arborea,Moraceae,Ficus,F. carica L.,Fico Alvo,Si riferisce al colore chiaro della polpa,"Albo, Albicello, Boero (tutti in Gallesio, Pomona Italiana e Giornali dei viaggi)",-,Campo Collezione regionale presso 3APTA a Pantalla di Todi (PG),https://biodiversita.umbria.parco3a.org/risorsa/fico-alvo/
62,Susino Pernicone,Elevato,29/06/2020,Regione Umbria,10 marze,Vegetale,Arborea,Rosaceae,Prunus,P. domestica L.,Susino Pernicone,-,-,-,Campo Collezione regionale presso 3APTA a Pantalla di Todi (PG),https://biodiversita.umbria.parco3a.org/risorsa/susino-pernicone/
63,Vite Trebbiano Spoletino,Medio,29/06/2020,"Comuni di Spoleto, Trevi, Montefalco, Campello sul Clitunno e Castel Ritaldi",10 barbatelle,Vegetale,Arborea,Vitaceae,Vitis,V. vinifera L.,Vite Trebbiano Spoletino,-,"Spoletino, Trebbiano di Spoleto",-,-,https://biodiversita.umbria.parco3a.org/risorsa/vite-trebbiano-spoletino/
64,Olivo Limona,Alto,16/12/2020,Regione Umbria,10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo Limona,Per il frutto che ricorda nella forma il limone,"Cimignolo (Umbria-Assisi); Lea, Nibbiu, Nebbia del Menocchia (Marche)",-,Collezione Istituto Agrario “Ciuffelli” di Todi (PG),https://biodiversita.umbria.parco3a.org/risorsa/olivo-limona/
65,Olivo Pocciolo,Alto,16/12/2020,Regione Umbria,10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo Pocciolo,Per il vistoso umbone del frutto,Minerva,-,Campo Collezione del CREA-OLI di Rende (CS) Campo Collezione del CREA-OFA di Spoleto (PG) Campo Collezione regionale a Lugnano in Teverina (TR),https://biodiversita.umbria.parco3a.org/risorsa/olivo-pocciolo/
66,Olivo Ornellona,Alto,16/12/2020,Regione Umbria,10 marze,Vegetale,Arborea,Oleaceae,Olea,O. europea L. subsp. europea,Olivo Ornellona,Per il frutto simile alla cv toscana Ornellaia,-,Oliva Bacona (Narni),Nessuno,https://biodiversita.umbria.parco3a.org/risorsa/olivo-ornellona/
67,Luccio del Trasimeno,Alto,16/12/2020,"Comuni di Castiglione del Lago, Magione, Panicale, Passignano sul Trasimeno, Tuoro sul Trasimeno",Non applicabile,Animale,Ittica,Esocidae,Esox,E. flaviae,Luccio del Trasimeno,Fa riferimento all’habitat in cui insiste la popolazione,-,-,"Centro Ittiogenico di S. Arcangelo, Magione (PG)",https://biodiversita.umbria.parco3a.org/risorsa/luccio-del-trasimeno/
68,Cardo Gobbo della Media Valle del Tevere,Alto,16/12/2020,"Comuni di Marsciano, Deruta, Collazzone, Fratta Todina, Todi",60 semi,Vegetale,Erbacea,Compositae,Cynara,C. cardunculus L.,Cardo Gobbo della Media Valle del Tevere,In base all’areale dove si ritiene fosse maggiormente coltivato in passato,-,-,"Campo Collezione presso 3APTA, Pantalla di Todi (PG)",https://biodiversita.umbria.parco3a.org/risorsa/cardo-gobbo-della-media-valle-del-tevere/
69,Aglione,Medio,16/12/2020,"Comuni di Castiglione del Lago, Passignano sul Trasimeno, Tuoro sul Trasimeno, Città della Pieve, Fabro, Ficulle, Monteleone di Orvieto, Montegabbione",20 bulbi,Vegetale,Erbacea,Amaryllidaceae,Allium,A. ampeloprasum L. var. holmense,Aglione,Per le grandi dimensioni del bulbo,-,-,Nessuno,https://biodiversita.umbria.parco3a.org/risorsa/aglione/
70,Lievito CMCR 102 – Sagrantino 1,Elevato,28/06/2021,"Come definito nel Disciplinare della DOC Sagrantino di Montefalco: Comune di Montefalco e parte del territorio dei Comuni di Bevagna, Gualdo Cattaneo, Castel Ritaldi e Giano dell'Umbria in Provincia di Perugia.",2 litri di mosto in attiva fermentazione oppure inoculo in terreno YEPD 5% fino ad un massimo di 5 litri,Microbica,Lievito vinario,Saccharomycetaceae,Saccharomyces,S. cerevisiae Meyen ex E.C. Hansen,-,"Il nome rimanda alla sigla del Centro dove il ceppo è conservato, Cemin Microbial Collection, mentre il termine “Sagrantino 1” fa riferimento all’areale di vinificazione dove il ceppo è stato selezionato",-,-,Collezione del Laboratorio di microbiologia e Genetica Microbica del Dipartimento di Scienze Farmaceutiche dell’Università di Perugia,https://biodiversita.umbria.parco3a.org/risorsa/lievito-cmcr102-sagrantino-1/
